,"master, legacy lp solver","{0} smt.arith.solver=2",,,,,,
"QF_NIA_small\821.smt2",0,0.31156755076668,0.359,0.519,1,0,0,
"QF_NIA_small\824.smt2",0,0.271390682656827,0.281,0.445,1,0,0,
"QF_NIA_small\828.smt2",0,529.161280233528,606.563,631.103,1,0,0,
"QF_NIA_small\83.smt2",0,3.00481366459627,3.469,3.678,0,1,0,
"QF_NIA_small\841.smt2",0,0.605324074074074,0.609,0.778,1,0,0,
"QF_NIA_small\843.smt2",0,0.338730569948187,0.375,0.531,1,0,0,
"QF_NIA_small\849.smt2",,891.350660417554,1000,1000,0,0,0,
"QF_NIA_small\866.smt2",0,39.4436642367067,43.969,45.81,1,0,0,
"QF_NIA_small\888.smt2",0,0.0423596112311015,0.047,0.216,1,0,0,
"QF_NIA_small\891.smt2",0,0.0677601575456053,0.078,0.124,1,0,0,
"QF_NIA_small\909.smt2",0,0.106647634584013,0.125,0.261,1,0,0,
"QF_NIA_small\93.smt2",0,20.2325515463918,23.453,24.392,1,0,0,
"QF_NIA_small\940.smt2",0,0.114542268944371,0.125,0.253,1,0,0,
"QF_NIA_small\946.smt2",0,0.319161920260374,0.375,0.533,1,0,0,
"QF_NIA_small\947.smt2",0,0.194746791934006,0.203,0.406,1,0,0,
"QF_NIA_small\966.smt2",,941.070625281152,1000,1000,0,0,0,
"QF_NIA_small\98.smt2",,890.591741166454,1000,1000,0,0,0,
"QF_NIA_small\989.smt2",0,110.992341694079,129.031,134.114,1,0,0,
"QF_NIA_small\99.smt2",,859.137577002053,1000,1000,0,0,0,
"QF_NIA_small\995.smt2",0,0.139511310285958,0.156,0.266,1,0,0,
"QF_NIA_small\aaron3_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2",0,482.772489200864,534.234,556.125,0,1,0,
"QF_NIA_small\aproveSMT1008289700543544835.smt2",0,0.0420688545688546,0.047,0.134,1,0,0,
"QF_NIA_small\aproveSMT1022543817592849705.smt2",0,0.041272095959596,0.047,0.167,1,0,0,
"QF_NIA_small\aproveSMT1045293394610378205.smt2",0,0.0290814056939502,0.031,0.191,1,0,0,
"QF_NIA_small\aproveSMT1059628807158111792.smt2",0,0.0143618189806678,0.016,0.166,0,1,0,
"QF_NIA_small\aproveSMT1067631316961394932.smt2",0,9.48947312738045,10.719,11.254,1,0,0,
"QF_NIA_small\aproveSMT1076852626867582761.smt2",0,0.0271153048527582,0.031,0.161,1,0,0,
"QF_NIA_small\aproveSMT1105246329636558105.smt2",0,7.80497448979592,7.313,7.59,0,1,0,
"QF_NIA_small\aproveSMT1133405555645861684.smt2",0,0.118576178960097,0.141,0.276,1,0,0,
"QF_NIA_small\aproveSMT1154766035975480809.smt2",0,0.0275495153813738,0.031,0.192,1,0,0,
"QF_NIA_small\aproveSMT1166681508436419880.smt2",0,0.0465192125237192,0.047,0.147,1,0,0,
"QF_NIA_small\aproveSMT1207857789260966146.smt2",0,0.329453330411919,0.359,0.719,1,0,0,
"QF_NIA_small\aproveSMT1222406278700673783.smt2",0,6.66759950248756,7.688,7.982,0,1,0,
"QF_NIA_small\aproveSMT1256079449125527892.smt2",0,0.114945054945055,0.125,0.215,1,0,0,
"QF_NIA_small\aproveSMT1261041288686639410.smt2",0,0.0307647058823529,0.031,0.169,1,0,0,
"QF_NIA_small\aproveSMT1296180034830538453.smt2",0,0.497989843419382,0.563,0.716,1,0,0,
"QF_NIA_small\aproveSMT1329540615731828670.smt2",0,4.24166288566243,4.469,4.767,1,0,0,
"QF_NIA_small\aproveSMT1437438160177275586.smt2",0,367.97798102981,389.438,405.212,0,0,1,
"QF_NIA_small\aproveSMT144364303553946193.smt2",0,0.0567737733391229,0.063,0.148,1,0,0,
"QF_NIA_small\aproveSMT1444998859697836742.smt2",0,0.0288249559082892,0.031,0.179,1,0,0,
"QF_NIA_small\aproveSMT1510730073127582778.smt2",0,0.043294701986755,0.047,0.132,1,0,0,
"QF_NIA_small\aproveSMT1524169612101880749.smt2",0,1.33418367346939,1.438,1.633,1,0,0,
"QF_NIA_small\aproveSMT1530191844080893274.smt2",0,14.2341525034451,14.813,15.444,1,0,0,
"QF_NIA_small\aproveSMT1575921927310304758.smt2",0,14.9187611209964,16.031,16.735,1,0,0,
"QF_NIA_small\aproveSMT1619938986991890573.smt2",0,0.0574472759226714,0.063,0.153,1,0,0,
"QF_NIA_small\aproveSMT1656844573245055412.smt2",0,5.4044492464539,5.828,6.101,0,1,0,
"QF_NIA_small\aproveSMT1697563446985587562.smt2",0,0.0395253929866989,0.047,0.189,1,0,0,
"QF_NIA_small\aproveSMT1705398915961754594.smt2",0,17.8107616940581,20.203,20.993,1,0,0,
"QF_NIA_small\aproveSMT1709482801492808359.smt2",0,0.0595671981776765,0.063,0.166,1,0,0,
"QF_NIA_small\aproveSMT1747479424109945297.smt2",0,8.99867647058823,9.141,9.532,0,1,0,
"QF_NIA_small\aproveSMT1750284694627347091.smt2",0,0.59482120186204,0.672,0.838,0,1,0,
"QF_NIA_small\aproveSMT1802082844053698751.smt2",0,28.4141663094728,31.688,33.019,0,1,0,
"QF_NIA_small\aproveSMT1832939841447591359.smt2",0,0.704413593037712,0.813,1.021,1,0,0,
"QF_NIA_small\aproveSMT1909899370567820557.smt2",0,0.0978249251817016,0.109,0.229,1,0,0,
"QF_NIA_small\aproveSMT2059890911796961568.smt2",0,0.475611772486773,0.516,0.695,1,0,0,
"QF_NIA_small\aproveSMT2080970443407093756.smt2",0,0.0663570848558668,0.078,0.181,1,0,0,
"QF_NIA_small\aproveSMT2121292005079447352.smt2",0,8.59206006205674,9.266,9.697,1,0,0,
"QF_NIA_small\aproveSMT2123657877861531207.smt2",0,0.171276702942362,0.203,0.376,1,0,0,
"QF_NIA_small\aproveSMT2142784755099170345.smt2",0,0.0406560945273632,0.047,0.178,1,0,0,
"QF_NIA_small\aproveSMT2158114964317463984.smt2",0,0.0829983072365637,0.094,0.221,1,0,0,
"QF_NIA_small\aproveSMT2180393309678538513.smt2",0,0.0948249067550766,0.109,0.24,1,0,0,
"QF_NIA_small\aproveSMT2180870078806303650.smt2",0,0.0560918060918061,0.063,0.179,1,0,0,
"QF_NIA_small\aproveSMT2200431342265122737.smt2",0,0.634149029982363,0.688,0.849,1,0,0,
"QF_NIA_small\aproveSMT2217993778086906389.smt2",0,0.043047629499561,0.047,0.131,1,0,0,
"QF_NIA_small\aproveSMT2256159023721325971.smt2",0,0.0320151811949069,0.031,0.179,1,0,0,
"QF_NIA_small\aproveSMT2271093326661303672.smt2",0,3.44005047250859,3.828,3.977,0,1,0,
"QF_NIA_small\aproveSMT2279546529930018049.smt2",0,68.8654617323557,71.828,74.688,1,0,0,
"QF_NIA_small\aproveSMT2313612983845754801.smt2",0,4.29244060475162,4.75,4.977,1,0,0,
"QF_NIA_small\aproveSMT2315623815142209104.smt2",0,6.029378951283,7.75,8.088,0,1,0,
"QF_NIA_small\aproveSMT2316535250821506157.smt2",0,3.99529686820357,4.391,4.642,1,0,0,
"QF_NIA_small\aproveSMT2322179511678559502.smt2",0,0.0413242730720607,0.047,0.2,1,0,0,
"QF_NIA_small\aproveSMT233295163504864559.smt2",0,7.63683466792275,7.75,8.197,0,1,0,
"QF_NIA_small\aproveSMT2355004445894478329.smt2",0,0.661580958281702,0.766,0.941,1,0,0,
"QF_NIA_small\aproveSMT2409578890815829527.smt2",0,0.0270928305014505,0.031,0.197,1,0,0,
"QF_NIA_small\aproveSMT2423766902024488209.smt2",0,0.110758153324862,0.125,0.263,1,0,0,
"QF_NIA_small\aproveSMT2477805317391230600.smt2",0,0.0711216275021758,0.078,0.402,1,0,0,
"QF_NIA_small\aproveSMT2493881658895874595.smt2",0,6.58523947594502,7.328,7.61,0,1,0,
"QF_NIA_small\aproveSMT2598777028614012130.smt2",0,7.32342896174864,8.328,8.7,1,0,0,
"QF_NIA_small\aproveSMT2631357328519238424.smt2",0,0.174023957409051,0.188,0.398,1,0,0,
"QF_NIA_small\aproveSMT2632098249079857042.smt2",0,0.0293688230008985,0.031,0.141,1,0,0,
"QF_NIA_small\aproveSMT2807471946702649636.smt2",0,0.261060319461959,0.297,0.51,1,0,0,
"QF_NIA_small\aproveSMT2844713893974801294.smt2",0,0.0286355672360929,0.031,0.188,1,0,0,
"QF_NIA_small\aproveSMT2846862246352958329.smt2",0,0.143366228070175,0.156,0.227,1,0,0,
"QF_NIA_small\aproveSMT2880696731965229413.smt2",0,14.5739533099518,15.891,16.521,1,0,0,
"QF_NIA_small\aproveSMT2881315380892242955.smt2",0,0.0282397408207343,0.031,0.143,0,1,0,
"QF_NIA_small\aproveSMT2912633883485370336.smt2",0,1.67402291105121,1.781,1.982,1,0,0,
"QF_NIA_small\aproveSMT2926330432023427683.smt2",0,0.127078833693305,0.141,0.362,1,0,0,
"QF_NIA_small\aproveSMT2934397244559601587.smt2",0,0.0549369747899159,0.063,0.2,1,0,0,
"QF_NIA_small\aproveSMT2958125353683346121.smt2",0,0.393825301204819,0.438,0.585,1,0,0,
"QF_NIA_small\aproveSMT2992043958700127833.smt2",0,0.0576499118165785,0.063,0.147,1,0,0,
"QF_NIA_small\aproveSMT3033966919233248917.smt2",0,70.3730886850153,77,80.093,0,0,1,
"QF_NIA_small\aproveSMT3039391242675517681.smt2",0,2.95105291576674,3.266,3.472,0,1,0,
"QF_NIA_small\aproveSMT3057256999514663885.smt2",0,9.29350490196079,9.969,10.311,1,0,0,
"QF_NIA_small\aproveSMT3060102017506592639.smt2",0,9.87206375838926,10.547,11.065,1,0,0,
"QF_NIA_small\aproveSMT3082703823983150903.smt2",0,0.0983293940696175,0.109,0.198,0,1,0,
"QF_NIA_small\aproveSMT3090147554356497231.smt2",0,0.0429533508541393,0.047,0.184,1,0,0,
"QF_NIA_small\aproveSMT3101880129747917873.smt2",0,2.86732456140351,3.125,3.434,1,0,0,
"QF_NIA_small\aproveSMT325795488857285297.smt2",0,1.021484375,1.172,1.341,1,0,0,
"QF_NIA_small\aproveSMT3264265901512371238.smt2",0,0.0453993055555556,0.047,0.161,1,0,0,
"QF_NIA_small\aproveSMT3305912493296657311.smt2",0,0.0412373843566022,0.047,0.152,1,0,0,
"QF_NIA_small\aproveSMT3306677380446705919.smt2",0,0.050095785440613,0.063,0.236,1,0,0,
"QF_NIA_small\aproveSMT3320813910319868151.smt2",0,805.466774126456,925.594,963.2,0,0,1,
"QF_NIA_small\aproveSMT3334656614075774306.smt2",0,0.132230987055016,0.156,0.313,1,0,0,
"QF_NIA_small\aproveSMT334180970798087384.smt2",0,1.21576500422654,1.375,1.587,1,0,0,
"QF_NIA_small\aproveSMT3342367565143444747.smt2",0,0.0546842325386867,0.063,0.186,1,0,0,
"QF_NIA_small\aproveSMT3400215009548742987.smt2",0,1.67904688972667,1.703,1.866,0,1,0,
"QF_NIA_small\aproveSMT3417012265546351137.smt2",0,0.269525881814017,0.281,0.416,1,0,0,
"QF_NIA_small\aproveSMT342988194676879281.smt2",0,4.5225361856109,5.078,5.327,1,0,0,
"QF_NIA_small\aproveSMT3496695621216907819.smt2",0,8.20258350730689,9.391,9.807,0,1,0,
"QF_NIA_small\aproveSMT3571876635740058861.smt2",0,13.0801194205168,15.969,16.711,0,1,0,
"QF_NIA_small\aproveSMT3611058756933534688.smt2",0,0.0285231239092496,0.031,0.153,1,0,0,
"QF_NIA_small\aproveSMT3612851711724526218.smt2",0,1.0835635359116,1.219,1.464,1,0,0,
"QF_NIA_small\aproveSMT3778692042252886508.smt2",0,0.0550990307627476,0.063,0.18,1,0,0,
"QF_NIA_small\aproveSMT3807494294977005803.smt2",0,0.0615873763542158,0.063,0.184,1,0,0,
"QF_NIA_small\aproveSMT3839584170547805483.smt2",0,48.071432238193,55.953,58.231,0,1,0,
"QF_NIA_small\aproveSMT3935457195847984314.smt2",0,8.40535714285714,9.563,10.01,0,1,0,
"QF_NIA_small\aproveSMT3970517148307051183.smt2",0,0.0679009140008309,0.078,0.205,1,0,0,
"QF_NIA_small\aproveSMT3981927164583947462.smt2",0,7.97372090203686,7.859,8.163,0,1,0,
