,"smt.arith.nl.grobner=false","-file:{0} smt.arith.nl.grobner=false",,,,,,
"QF_NIA_small\179.smt2",0,0.0433138250883392,0.047,0.159,1,0,0,
"QF_NIA_small\1794.smt2",0,0.0595671981776765,0.063,0.16,1,0,0,
"QF_NIA_small\1805.smt2",0,0.308788798920378,0.328,0.493,0,1,0,
"QF_NIA_small\1809.smt2",0,0.587609740802676,0.672,0.864,0,1,0,
"QF_NIA_small\181.smt2",,919.156414762742,1000,1000,0,0,0,
"QF_NIA_small\182.smt2",,921.992066989863,1000,1000,0,0,0,
"QF_NIA_small\183.smt2",,880.842105263158,1000,1000,0,0,0,
"QF_NIA_small\185.smt2",,889.455782312925,1000,1000,0,0,0,
"QF_NIA_small\1850.smt2",0,0.0495765925176946,0.047,0.154,1,0,0,
"QF_NIA_small\1852.smt2",0,0.0851236979166667,0.094,0.178,1,0,0,
"QF_NIA_small\1858.smt2",0,0.0793065103113627,0.094,0.21,1,0,0,
"QF_NIA_small\187.smt2",0,0.0719355193661972,0.078,0.186,1,0,0,
"QF_NIA_small\1884.smt2",0,0.185643294014854,0.203,0.388,1,0,0,
"QF_NIA_small\1895.smt2",0,82.6409896054306,93.109,96.746,1,0,0,
"QF_NIA_small\1898.smt2",0,69.7123534951863,79.609,82.847,1,0,0,
"QF_NIA_small\1901.smt2",0,146.32514418811,157.656,163.931,1,0,0,
"QF_NIA_small\1917.smt2",0,0.18237660944206,0.203,0.394,1,0,0,
"QF_NIA_small\192.smt2",0,0.0723494909251881,0.078,0.164,1,0,0,
"QF_NIA_small\1924.smt2",0,0.0438170241286863,0.047,0.147,1,0,0,
"QF_NIA_small\1933.smt2",0,1.04739652870494,1.125,1.31,1,0,0,
"QF_NIA_small\1934.smt2",0,1.22419139105058,1.203,1.367,0,1,0,
"QF_NIA_small\199.smt2",0,0.109414225941423,0.125,0.245,1,0,0,
"QF_NIA_small\20.smt2",0,1.95451030927835,2.266,2.467,1,0,0,
"QF_NIA_small\203.smt2",0,6.68838770528185,7.203,7.473,1,0,0,
"QF_NIA_small\211.smt2",0,12.5853491902834,14.859,15.464,1,0,0,
"QF_NIA_small\23.smt2",0,7.67199023861171,8.453,8.771,1,0,0,
"QF_NIA_small\250.smt2",0,0.0273306856187291,0.031,0.154,1,0,0,
"QF_NIA_small\257.smt2",0,0.072833110516934,0.078,0.157,1,0,0,
"QF_NIA_small\264.smt2",0,0.102376957494407,0.109,0.213,1,0,0,
"QF_NIA_small\269.smt2",0,0.0843185726569217,0.094,0.218,1,0,0,
"QF_NIA_small\281.smt2",0,0.0680422564529559,0.078,0.179,1,0,0,
"QF_NIA_small\307.smt2",0,56.5196590909091,59.438,61.822,1,0,0,
"QF_NIA_small\310.smt2",0,227.215474783294,275.656,286.111,1,0,0,
"QF_NIA_small\322.smt2",0,0.074054145899411,0.078,0.19,1,0,0,
"QF_NIA_small\34.smt2",0,45.2664640077821,55.609,57.818,1,0,0,
"QF_NIA_small\35.smt2",,976.201586560896,1000,1000,0,0,0,
"QF_NIA_small\359.smt2",0,0.0435252996005326,0.047,0.167,1,0,0,
"QF_NIA_small\364.smt2",0,0.0675710594315245,0.063,0.142,1,0,0,
"QF_NIA_small\367.smt2",0,0.0436998663101604,0.047,0.166,1,0,0,
"QF_NIA_small\370.smt2",0,0.0556856899488927,0.063,0.16,1,0,0,
"QF_NIA_small\377.smt2",0,0.086170913884007,0.094,0.201,1,0,0,
"QF_NIA_small\40.smt2",,927.716186252772,1000,1000,0,0,0,
"QF_NIA_small\400.smt2",0,0.121565082644628,0.141,0.243,1,0,0,
"QF_NIA_small\424.smt2",0,23.1771282327586,25.703,26.742,1,0,0,
"QF_NIA_small\443.smt2",0,0.100444468832309,0.109,0.238,1,0,0,
"QF_NIA_small\449.smt2",0,0.236117381489842,0.25,0.427,1,0,0,
"QF_NIA_small\455.smt2",0,0.0960186739404112,0.109,0.193,1,0,0,
"QF_NIA_small\460.smt2",0,0.242764307557886,0.266,0.447,1,0,0,
"QF_NIA_small\466.smt2",0,0.103208164185837,0.109,0.196,1,0,0,
"QF_NIA_small\485.smt2",0,29.5853709075839,34.125,35.53,1,0,0,
"QF_NIA_small\496.smt2",0,0.0267491816693944,0.031,0.16,1,0,0,
"QF_NIA_small\498.smt2",0,0.0857564494971579,0.094,0.178,1,0,0,
"QF_NIA_small\500.smt2",0,0.0826485461441214,0.094,0.209,1,0,0,
"QF_NIA_small\507.smt2",0,0.0442720090293454,0.047,0.15,1,0,0,
"QF_NIA_small\514.smt2",0,0.112618432385874,0.125,0.207,1,0,0,
"QF_NIA_small\520.smt2",0,0.0850498699045967,0.094,0.18,1,0,0,
"QF_NIA_small\527.smt2",0,0.0984563253012048,0.109,0.213,1,0,0,
"QF_NIA_small\535.smt2",0,0.139989293361884,0.156,0.279,1,0,0,
"QF_NIA_small\54.smt2",,933.51182507809,1000,1000,0,0,0,
"QF_NIA_small\544.smt2",0,0.129426968763748,0.141,0.235,1,0,0,
"QF_NIA_small\551.smt2",0,0.0672029194078947,0.078,0.201,1,0,0,
"QF_NIA_small\572.smt2",0,215.601585239085,247.859,257.85,1,0,0,
"QF_NIA_small\573.smt2",0,0.916208495040966,1.016,1.225,1,0,0,
"QF_NIA_small\574.smt2",0,0.850406504065041,1,1.348,1,0,0,
"QF_NIA_small\58.smt2",,869.131699210636,1000,1000,0,0,0,
"QF_NIA_small\583.smt2",0,8.62149035734542,7.266,7.607,1,0,0,
"QF_NIA_small\586.smt2",0,9.83976001863933,10.094,10.558,0,1,0,
"QF_NIA_small\599.smt2",0,0.157980008787346,0.172,0.277,1,0,0,
"QF_NIA_small\604.smt2",0,1.28522280471822,1.406,1.737,0,1,0,
"QF_NIA_small\624.smt2",0,0.0541856610029009,0.063,0.186,1,0,0,
"QF_NIA_small\625.smt2",0,0.247632575757576,0.266,0.596,1,0,0,
"QF_NIA_small\65.smt2",,892.491467576792,1000,1000,0,0,0,
"QF_NIA_small\652.smt2",0,0.143681318681319,0.156,0.234,1,0,0,
"QF_NIA_small\673.smt2",0,28.7262549756745,31.047,32.322,1,0,0,
"QF_NIA_small\677.smt2",0,1.93672740835465,2.172,2.336,1,0,0,
"QF_NIA_small\701.smt2",0,0.0268260155929422,0.031,0.119,1,0,0,
"QF_NIA_small\706.smt2",0,0.101065591872792,0.109,0.192,1,0,0,
"QF_NIA_small\707.smt2",0,0.100444468832309,0.109,0.157,1,0,0,
"QF_NIA_small\709.smt2",0,0.0395892208316512,0.047,0.405,1,0,0,
"QF_NIA_small\711.smt2",0,0.09749147848317,0.109,0.196,1,0,0,
"QF_NIA_small\722.smt2",0,0.0560677530017153,0.063,0.16,1,0,0,
"QF_NIA_small\73.smt2",,910.753156290814,1000,1000,0,0,0,
"QF_NIA_small\732.smt2",0,0.0550526315789474,0.063,0.175,1,0,0,
"QF_NIA_small\74.smt2",0,0.043066534914361,0.047,0.177,1,0,0,
"QF_NIA_small\75.smt2",0,0.0845730918499353,0.094,0.206,1,0,0,
"QF_NIA_small\750.smt2",0,0.512572804659498,0.547,0.723,1,0,0,
"QF_NIA_small\781.smt2",0,0.113547546678246,0.125,0.198,1,0,0,
"QF_NIA_small\788.smt2",0,0.0668456032719836,0.078,0.184,1,0,0,
"QF_NIA_small\798.smt2",0,0.150886487620646,0.172,0.28,1,0,0,
"QF_NIA_small\808.smt2",0,0.0664380081300813,0.078,0.191,1,0,0,
"QF_NIA_small\821.smt2",0,0.843459179357022,0.953,1.127,1,0,0,
"QF_NIA_small\824.smt2",0,0.240870177719983,0.266,0.442,1,0,0,
"QF_NIA_small\828.smt2",0,0.0962205634987384,0.109,0.23,1,0,0,
"QF_NIA_small\83.smt2",0,1.63367684750107,1.828,2.016,0,1,0,
"QF_NIA_small\841.smt2",0,0.0900482093663912,0.094,0.198,1,0,0,
"QF_NIA_small\843.smt2",0,0.275905153265215,0.297,0.458,1,0,0,
"QF_NIA_small\849.smt2",0,0.1046,0.125,0.226,1,0,0,
"QF_NIA_small\866.smt2",0,41.2497110939908,51.188,53.206,1,0,0,
"QF_NIA_small\888.smt2",0,0.0842099613568055,0.094,0.206,1,0,0,
"QF_NIA_small\891.smt2",0,0.0535421785421785,0.063,0.194,1,0,0,
"QF_NIA_small\909.smt2",0,0.0571959755030621,0.063,0.165,1,0,0,
"QF_NIA_small\93.smt2",0,21.271933560477,23.875,24.875,1,0,0,
"QF_NIA_small\940.smt2",0,0.337820380322447,0.391,0.583,1,0,0,
"QF_NIA_small\946.smt2",0,0.0428782247485789,0.047,0.192,1,0,0,
"QF_NIA_small\947.smt2",0,0.0765873945641987,0.078,0.172,1,0,0,
"QF_NIA_small\966.smt2",,1117.52136752137,1000,1000,0,0,0,
"QF_NIA_small\98.smt2",,990.999526290857,1000,1000,0,0,0,
"QF_NIA_small\989.smt2",0,0.124867359932088,0.141,0.249,1,0,0,
"QF_NIA_small\99.smt2",,864.820173625465,1000,1000,0,0,0,
"QF_NIA_small\995.smt2",0,0.271942595673877,0.313,0.54,1,0,0,
"QF_NIA_small\aaron3_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2",0,0.743560437109723,0.797,1.236,0,1,0,
"QF_NIA_small\aproveSMT1008289700543544835.smt2",0,0.0396853500607042,0.047,0.46,1,0,0,
"QF_NIA_small\aproveSMT1022543817592849705.smt2",0,0.0412373843566022,0.047,0.173,1,0,0,
"QF_NIA_small\aproveSMT1045293394610378205.smt2",0,0.0401566339066339,0.047,0.107,1,0,0,
"QF_NIA_small\aproveSMT1059628807158111792.smt2",0,0.0667636846405229,0.078,0.182,0,1,0,
"QF_NIA_small\aproveSMT1067631316961394932.smt2",0,9.85766853932585,10.484,11.032,1,0,0,
"QF_NIA_small\aproveSMT1076852626867582761.smt2",0,0.0776794201520912,0.078,0.187,1,0,0,
"QF_NIA_small\aproveSMT1105246329636558105.smt2",0,0.15667211328976,0.172,0.232,0,1,0,
"QF_NIA_small\aproveSMT1133405555645861684.smt2",0,0.119822214076246,0.156,0.49,1,0,0,
"QF_NIA_small\aproveSMT1154766035975480809.smt2",0,0.0553790766624312,0.063,0.15,1,0,0,
"QF_NIA_small\aproveSMT1166681508436419880.smt2",0,0.0401566339066339,0.047,0.091,1,0,0,
"QF_NIA_small\aproveSMT1207857789260966146.smt2",0,0.305040520628685,0.297,0.535,1,0,0,
"QF_NIA_small\aproveSMT1222406278700673783.smt2",0,9.72409353110837,11.281,11.735,0,1,0,
"QF_NIA_small\aproveSMT1256079449125527892.smt2",0,0.10630081300813,0.125,1.366,1,0,0,
"QF_NIA_small\aproveSMT1261041288686639410.smt2",0,0.014521323856064,0.016,0.165,1,0,0,
"QF_NIA_small\aproveSMT1296180034830538453.smt2",0,0.504393484783541,0.563,0.767,1,0,0,
"QF_NIA_small\aproveSMT1329540615731828670.smt2",0,4.30734298029557,5.016,5.236,1,0,0,
"QF_NIA_small\aproveSMT1437438160177275586.smt2",0,10.2564371257485,12.281,12.93,0,1,0,
"QF_NIA_small\aproveSMT144364303553946193.smt2",0,0.0403217516447369,0.047,0.15,1,0,0,
"QF_NIA_small\aproveSMT1444998859697836742.smt2",0,0.0271490863787375,0.031,0.162,1,0,0,
"QF_NIA_small\aproveSMT1510730073127582778.smt2",0,0.0412200504413619,0.047,0.259,1,0,0,
"QF_NIA_small\aproveSMT1524169612101880749.smt2",0,1.27718441391155,1.422,1.688,1,0,0,
"QF_NIA_small\aproveSMT1530191844080893274.smt2",0,14.3513140459364,15.531,16.154,1,0,0,
"QF_NIA_small\aproveSMT1575921927310304758.smt2",0,15.4798256065858,17.078,17.787,1,0,0,
"QF_NIA_small\aproveSMT1619938986991890573.smt2",0,0.0543207312006648,0.063,0.114,1,0,0,
"QF_NIA_small\aproveSMT1656844573245055412.smt2",0,6.01702715140359,6.25,6.556,0,1,0,
"QF_NIA_small\aproveSMT1697563446985587562.smt2",0,0.0285605067715159,0.031,0.165,1,0,0,
"QF_NIA_small\aproveSMT1705398915961754594.smt2",0,20.3098774014156,19.203,19.972,1,0,0,
"QF_NIA_small\aproveSMT1709482801492808359.smt2",0,0.0541407867494824,0.063,0.141,1,0,0,
"QF_NIA_small\aproveSMT1747479424109945297.smt2",0,1.66996440536013,1.906,2.118,0,1,0,
"QF_NIA_small\aproveSMT1750284694627347091.smt2",0,0.668114460909556,0.625,0.814,0,1,0,
"QF_NIA_small\aproveSMT1802082844053698751.smt2",0,27.5984281437126,33.047,34.447,0,1,0,
"QF_NIA_small\aproveSMT1832939841447591359.smt2",0,0.763246519982039,0.813,1.09,1,0,0,
"QF_NIA_small\aproveSMT1909899370567820557.smt2",0,0.111181972789116,0.125,0.229,1,0,0,
"QF_NIA_small\aproveSMT2059890911796961568.smt2",0,0.463568181818182,0.609,0.928,1,0,0,
"QF_NIA_small\aproveSMT2080970443407093756.smt2",0,0.0707215491129381,0.078,0.192,1,0,0,
"QF_NIA_small\aproveSMT2121292005079447352.smt2",0,8.78031930126,7.328,7.676,1,0,0,
"QF_NIA_small\aproveSMT2123657877861531207.smt2",0,0.195901113013699,0.219,0.529,1,0,0,
"QF_NIA_small\aproveSMT2142784755099170345.smt2",0,0.0405384456386937,0.047,0.134,1,0,0,
"QF_NIA_small\aproveSMT2158114964317463984.smt2",0,0.0934309922417313,0.109,0.242,1,0,0,
"QF_NIA_small\aproveSMT2180393309678538513.smt2",0,0.0933039961941008,0.094,0.227,1,0,0,
"QF_NIA_small\aproveSMT2180870078806303650.smt2",0,0.0844638242894057,0.094,0.222,1,0,0,
"QF_NIA_small\aproveSMT2200431342265122737.smt2",0,0.649233592400691,0.719,1.299,1,0,0,
"QF_NIA_small\aproveSMT2217993778086906389.smt2",0,0.0517821782178218,0.063,0.206,1,0,0,
"QF_NIA_small\aproveSMT2256159023721325971.smt2",0,0.0374427262313859,0.031,0.169,1,0,0,
"QF_NIA_small\aproveSMT2271093326661303672.smt2",0,3.53378378378378,4.063,4.536,0,1,0,
"QF_NIA_small\aproveSMT2279546529930018049.smt2",0,59.765902366864,53.109,55.257,1,0,0,
"QF_NIA_small\aproveSMT2313612983845754801.smt2",0,4.39362348178137,5.188,5.649,1,0,0,
"QF_NIA_small\aproveSMT2315623815142209104.smt2",0,1.67885755048288,1.828,2.043,0,1,0,
"QF_NIA_small\aproveSMT2316535250821506157.smt2",0,3.98251823251823,4.438,4.784,1,0,0,
"QF_NIA_small\aproveSMT2322179511678559502.smt2",0,0.0536080360803608,0.063,0.213,1,0,0,
"QF_NIA_small\aproveSMT233295163504864559.smt2",0,0.4,0.5,0.754,0,1,0,
"QF_NIA_small\aproveSMT2355004445894478329.smt2",0,0.596729208924949,0.703,0.906,1,0,0,
"QF_NIA_small\aproveSMT2409578890815829527.smt2",0,0.0494765388496467,0.047,0.119,1,0,0,
"QF_NIA_small\aproveSMT2423766902024488209.smt2",0,0.134332191780822,0.141,0.268,1,0,0,
"QF_NIA_small\aproveSMT2477805317391230600.smt2",0,0.0639426838810641,0.078,0.289,1,0,0,
"QF_NIA_small\aproveSMT2493881658895874595.smt2",0,0.331993228946255,0.375,0.738,0,1,0,
"QF_NIA_small\aproveSMT2598777028614012130.smt2",0,7.44853608715388,7.844,8.303,1,0,0,
"QF_NIA_small\aproveSMT2631357328519238424.smt2",0,0.171830772341286,0.203,0.572,1,0,0,
"QF_NIA_small\aproveSMT2632098249079857042.smt2",0,0.0427660270388138,0.047,0.106,1,0,0,
"QF_NIA_small\aproveSMT2807471946702649636.smt2",0,0.257044560943643,0.281,0.526,1,0,0,
"QF_NIA_small\aproveSMT2844713893974801294.smt2",0,0.0507176105508146,0.063,0.129,1,0,0,
"QF_NIA_small\aproveSMT2846862246352958329.smt2",0,0.141198704103672,0.156,0.242,1,0,0,
"QF_NIA_small\aproveSMT2880696731965229413.smt2",0,12.8989151346729,14.422,15.06,1,0,0,
"QF_NIA_small\aproveSMT2881315380892242955.smt2",0,0.0299062214089662,0.031,0.173,0,1,0,
"QF_NIA_small\aproveSMT2912633883485370336.smt2",0,1.82133811734909,2.063,2.599,1,0,0,
"QF_NIA_small\aproveSMT2926330432023427683.smt2",0,0.143744503078276,0.156,0.215,1,0,0,
"QF_NIA_small\aproveSMT2934397244559601587.smt2",0,0.0618788452437293,0.063,0.175,1,0,0,
"QF_NIA_small\aproveSMT2958125353683346121.smt2",0,0.463858093126386,0.5,0.9,1,0,0,
"QF_NIA_small\aproveSMT2992043958700127833.smt2",0,0.0551222596964587,0.063,0.371,1,0,0,
"QF_NIA_small\aproveSMT3033966919233248917.smt2",0,6.68700623700624,7.688,8.136,0,1,0,
"QF_NIA_small\aproveSMT3039391242675517681.smt2",0,0.132284500202347,0.156,0.488,0,1,0,
"QF_NIA_small\aproveSMT3057256999514663885.smt2",0,8.27199514152936,9.359,9.7,1,0,0,
"QF_NIA_small\aproveSMT3060102017506592639.smt2",0,10.2240050448431,13.078,13.663,1,0,0,
"QF_NIA_small\aproveSMT3082703823983150903.smt2",0,0.100400394910048,0.109,0.234,0,1,0,
"QF_NIA_small\aproveSMT3090147554356497231.smt2",0,0.0559717465753424,0.063,0.167,1,0,0,
"QF_NIA_small\aproveSMT3101880129747917873.smt2",0,2.49972601071603,2.453,2.554,1,0,0,
"QF_NIA_small\aproveSMT325795488857285297.smt2",0,1.07729835212489,1.188,1.468,1,0,0,
"QF_NIA_small\aproveSMT3264265901512371238.smt2",0,0.057828394515701,0.063,0.499,1,0,0,
"QF_NIA_small\aproveSMT3305912493296657311.smt2",0,0.0594048159927306,0.063,0.574,1,0,0,
"QF_NIA_small\aproveSMT3306677380446705919.smt2",0,0.0386986977111286,0.047,0.393,1,0,0,
"QF_NIA_small\aproveSMT3320813910319868151.smt2",,1081.13695090439,1000,1000,0,0,0,
"QF_NIA_small\aproveSMT3334656614075774306.smt2",0,0.130460088691796,0.141,0.446,1,0,0,
"QF_NIA_small\aproveSMT334180970798087384.smt2",0,1.18662937948501,1.344,1.657,1,0,0,
"QF_NIA_small\aproveSMT3342367565143444747.smt2",0,0.0275611298482293,0.031,0.247,1,0,0,
"QF_NIA_small\aproveSMT3400215009548742987.smt2",0,1.42180770887166,1.578,1.891,0,1,0,
"QF_NIA_small\aproveSMT3417012265546351137.smt2",0,0.267930327868852,0.328,0.657,1,0,0,
"QF_NIA_small\aproveSMT342988194676879281.smt2",0,4.33568087318087,4.984,5.313,1,0,0,
"QF_NIA_small\aproveSMT3496695621216907819.smt2",0,3.59718899521531,3.953,4.255,0,1,0,
"QF_NIA_small\aproveSMT3571876635740058861.smt2",0,13.9005338904364,14.313,14.949,0,1,0,
"QF_NIA_small\aproveSMT3611058756933534688.smt2",0,0.0359466642228739,0.047,0.181,1,0,0,
"QF_NIA_small\aproveSMT3612851711724526218.smt2",0,0.995904632721202,1.141,1.404,1,0,0,
"QF_NIA_small\aproveSMT3778692042252886508.smt2",0,0.0545701168614358,0.063,0.183,1,0,0,
"QF_NIA_small\aproveSMT3807494294977005803.smt2",0,0.0420508147512864,0.047,0.253,1,0,0,
"QF_NIA_small\aproveSMT3839584170547805483.smt2",0,74.5040587649402,89.391,92.97,0,1,0,
"QF_NIA_small\aproveSMT3935457195847984314.smt2",0,5.72434889986529,6.094,6.508,0,1,0,
